"","times_snp_appears"
"60",1
"117",1
"123",1
"124",1
"126",1
"127",1
"162",1
"174",1
"192",1
"195",1
"201",1
"208",1
"213",1
"249",3
"258",1
"259",1
"273",1
"294",1
"303",1
"306",1
"333",1
"351",5
"363",1
"366",1
"375",1
"387",1
"408",1
"411",1
"414",1
"435",1
"439",1
"447",1
"454",1
"456",1
"462",1
"471",1
"477",1
"498",1
"507",1
"513",1
"561",1
"564",1
"582",1
"588",1
"597",1
"610",1
"615",1
"618",1
"657",1
"663",1
"672",1
"675",1
"678",1
"690",1
"696",1
"726",1
"735",1
"750",1
"756",1
"757",1
"804",1
"813",1
"840",1
"855",1
"858",1
"861",1
"864",1
"873",1
"900",1
"909",1
"915",1
"930",1
"942",1
"948",3
"963",1
"969",1
"972",1
"984",1
"1002",1
"1020",1
"1047",3
"1077",1
"1081",1
"1086",1
"1095",1
"1098",1
"1113",1
"1119",1
"1134",1
"1140",1
"1164",1
"1194",1
"1206",1
"1242",1
"1245",1
"1248",1
"1254",1
"1262",1
"1269",1
"1299",1
"1311",1
"1336",1
"1348",1
"1352",1
"1358",1
"1363",1
"1367",1
"1368",1
"1378",1
"1384",1
"1395",1
"1396",1
"1399",1
"1406",1
"1407",1
"1442",1
"1461",1
"1469",1
"1531",1
"1541",1
"1594",1
"1606",1
"1639",1
"1646",1
"1696",1
"1699",1
"1711",1
"1736",1
"1741",1
"1744",1
"1756",1
"1757",1
"1777",1
"1778",1
"1813",1
"1816",3
"1822",1
"1831",1
"1870",1
"1876",1
"1888",1
"1892",1
"1897",1
"1913",1
"1927",1
"1945",1
"1960",2
"1961",1
"1984",1
"1996",1
"1999",1
"2002",3
"2014",1
"2018",1
"2023",1
"2047",1
"2056",1
"2068",1
"2071",1
"2074",1
"2089",1
"2107",2
"2110",1
"2155",1
"2173",1
"2176",1
"2188",1
"2206",2
"2212",1
"2236",1
"2245",1
"2248",1
"2254",1
"2260",1
"2263",1
"2293",1
"2299",1
"2314",1
"2332",2
"2338",1
"2341",1
"2359",1
"2365",1
"2380",1
"2404",1
"2422",1
"2443",1
"2461",1
"2470",1
"2497",1
"2503",1
"2521",1
"2524",1
"2530",1
"2542",1
"2563",1
"2610",1
"2618",1
"2632",1
"2638",1
"2710",1
"2732",1
"2734",1
"2777",1
"2778",1
"2843",1
"2846",1
"2867",1
"2879",1
"2940",1
"2979",1
"3071",1
"3097",1
"3109",1
"3118",1
"3166",1
"3175",1
"3184",1
"3187",1
"3190",1
"3229",1
"3235",1
"3304",3
"3311",1
"3314",1
"3325",1
"3331",1
"3337",1
"3343",1
"3346",1
"3347",1
"3349",1
"3370",1
"3376",1
"3385",1
"3391",1
"3394",2
"3395",1
"3406",1
"3409",1
"3418",1
"3425",1
"3436",1
"3457",1
"3508",1
"3511",1
"3514",1
"3525",1
"3526",1
"3529",1
"3541",1
"3568",1
"3576",1
"3610",1
"3628",1
"3630",1
"3640",1
"3668",1
